date,temperature_2m,relative_humidity_2m,vapour_pressure_deficit,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm
2023-01-01 00:00:00,-12.798,89.607605,0.023860559,0.398,0.392,0.326,-0.948,-0.49800003,1.4020001
2023-01-01 01:00:00,-13.498,88.813446,0.024261713,0.398,0.392,0.326,-0.948,-0.49800003,1.4020001
2023-01-01 02:00:00,-13.898,88.0457,0.025092244,0.398,0.392,0.326,-0.948,-0.49800003,1.4020001
2023-01-01 03:00:00,-14.398,87.63169,0.024917126,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 04:00:00,-14.898,87.21593,0.024714187,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 05:00:00,-15.148,84.314285,0.029700816,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 06:00:00,-15.198,82.901825,0.032240346,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 07:00:00,-15.048,79.502,0.039130807,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 08:00:00,-15.098,78.82501,0.040255547,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 09:00:00,-15.148,78.81672,0.04010485,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 10:00:00,-15.298,79.46171,0.038403884,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 11:00:00,-15.798,81.77398,0.032694638,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 12:00:00,-16.348,82.74305,0.029567018,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 13:00:00,-16.898,84.090065,0.026030108,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 14:00:00,-17.048,84.79148,0.024570659,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 15:00:00,-17.148,85.141785,0.023803413,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 16:00:00,-16.998,85.8889,0.022894576,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 17:00:00,-15.848,86.02148,0.02497372,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 18:00:00,-14.798,86.14092,0.027013943,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 19:00:00,-14.198,87.65196,0.025288552,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 20:00:00,-13.648,87.7075,0.02633512,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 21:00:00,-12.748,87.797615,0.028129011,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 22:00:00,-11.548,88.27318,0.029779494,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-01 23:00:00,-10.398,89.4513,0.029362977,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-02 00:00:00,-9.498,89.88474,0.030233711,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-02 01:00:00,-9.048,90.6359,0.028996736,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-02 02:00:00,-8.498,90.32155,0.031288326,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-02 03:00:00,-8.298,89.98284,0.032892376,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-02 04:00:00,-8.098,89.646385,0.03453061,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-02 05:00:00,-7.598,88.98916,0.03817582,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-02 06:00:00,-7.098,87.65507,0.04448712,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-02 07:00:00,-6.848,85.31777,0.053937405,0.398,0.392,0.326,-0.948,-0.49800003,1.352
2023-01-02 08:00:00,-6.348,84.38401,0.0596129,0.398,0.391,0.326,-0.948,-0.49800003,1.352
2023-01-02 09:00:00,-5.998,84.426506,0.06106451,0.398,0.391,0.326,-0.948,-0.49800003,1.352
2023-01-02 10:00:00,-5.948,85.42094,0.05738482,0.398,0.391,0.326,-0.948,-0.49800003,1.352
2023-01-02 11:00:00,-6.098,87.075836,0.050292134,0.398,0.391,0.326,-0.948,-0.49800003,1.352
2023-01-02 12:00:00,-5.848,88.45735,0.045782983,0.398,0.391,0.326,-0.948,-0.49800003,1.352
2023-01-02 13:00:00,-5.498,89.17265,0.04410681,0.398,0.391,0.326,-0.948,-0.49800003,1.352
2023-01-02 14:00:00,-5.198,89.88488,0.042155743,0.397,0.391,0.326,-0.948,-0.49800003,1.352
2023-01-02 15:00:00,-4.998,89.90105,0.042731404,0.397,0.391,0.326,-0.948,-0.49800003,1.352
2023-01-02 16:00:00,-4.848,89.913124,0.04316771,0.397,0.391,0.326,-0.948,-0.49800003,1.352
2023-01-02 17:00:00,-4.548,89.93723,0.044051766,0.397,0.391,0.327,-0.948,-0.49800003,1.352
2023-01-02 18:00:00,-4.198,89.62406,0.046636254,0.397,0.391,0.327,-0.948,-0.49800003,1.352
2023-01-02 19:00:00,-3.9980001,89.98121,0.045713127,0.397,0.391,0.327,-0.948,-0.49800003,1.352
2023-01-02 20:00:00,-3.648,90.009056,0.04679835,0.397,0.391,0.327,-0.948,-0.49800003,1.352
2023-01-02 21:00:00,-3.348,90.03284,0.04774615,0.397,0.391,0.327,-0.898,-0.49800003,1.352
2023-01-02 22:00:00,-3.148,90.04864,0.0483872,0.397,0.391,0.327,-0.898,-0.49800003,1.352
2023-01-02 23:00:00,-2.998,89.04944,0.053843588,0.397,0.391,0.327,-0.898,-0.49800003,1.352
2023-01-03 00:00:00,-2.748,87.7411,0.061407357,0.397,0.391,0.327,-0.898,-0.49800003,1.352
2023-01-03 01:00:00,-2.498,88.42654,0.059059918,0.397,0.391,0.327,-0.898,-0.49800003,1.352
2023-01-03 02:00:00,-2.2979999,88.44467,0.059847623,0.397,0.391,0.327,-0.898,-0.49800003,1.302
2023-01-03 03:00:00,-2.148,88.789795,0.058708012,0.397,0.391,0.327,-0.898,-0.49800003,1.302
2023-01-03 04:00:00,-1.948,88.807365,0.059488356,0.397,0.391,0.327,-0.898,-0.49800003,1.302
2023-01-03 05:00:00,-1.5979999,89.16933,0.05906862,0.397,0.391,0.327,-0.898,-0.49800003,1.302
2023-01-03 06:00:00,-1.198,89.53465,0.058778107,0.397,0.391,0.327,-0.898,-0.49800003,1.302
2023-01-03 07:00:00,-0.148,90.61343,0.056919575,0.397,0.391,0.327,-0.898,-0.49800003,1.302
2023-01-03 08:00:00,0.202,91.63939,0.05200267,0.397,0.391,0.327,-0.898,-0.49800003,1.302
2023-01-03 09:00:00,0.352,92.32074,0.048286557,0.397,0.391,0.327,-0.898,-0.49800003,1.302
2023-01-03 10:00:00,0.0020000003,90.29275,0.05950892,0.397,0.391,0.327,-0.898,-0.49800003,1.302
2023-01-03 11:00:00,-1.2479999,87.23246,0.0714446,0.397,0.391,0.327,-0.848,-0.49800003,1.302
2023-01-03 12:00:00,-2.0479999,86.8271,0.06949726,0.397,0.391,0.327,-0.848,-0.49800003,1.302
2023-01-03 13:00:00,-2.698,86.43414,0.06820625,0.397,0.391,0.327,-0.848,-0.49800003,1.302
2023-01-03 14:00:00,-3.498,87.00699,0.06154546,0.397,0.391,0.327,-0.848,-0.49800003,1.302
2023-01-03 15:00:00,-4.148,87.605804,0.05591631,0.397,0.391,0.327,-0.848,-0.49800003,1.302
2023-01-03 16:00:00,-4.498,88.24294,0.051662385,0.397,0.391,0.327,-0.848,-0.49800003,1.302
