date,precipitation,rain,snowfall,wind_speed_10m,wind_gusts_10m
2016-01-01 00:00:00,0.0,0.0,0.0,5.936329,10.2
2016-01-01 01:00:00,0.0,0.0,0.0,6.328507,10.8
2016-01-01 02:00:00,0.0,0.0,0.0,6.723095,11.7
2016-01-01 03:00:00,0.0,0.0,0.0,7.169379,12.4
2016-01-01 04:00:00,0.0,0.0,0.0,7.430343,12.7
2016-01-01 05:00:00,0.0,0.0,0.0,7.247069,12.6
2016-01-01 06:00:00,0.0,0.0,0.0,6.8883963,12.7
2016-01-01 07:00:00,0.0,0.0,0.0,6.860029,11.8
2016-01-01 08:00:00,0.0,0.0,0.0,7.045566,12.4
2016-01-01 09:00:00,0.0,0.0,0.0,6.9999995,13.3
2016-01-01 10:00:00,0.0,0.0,0.0,6.9999995,12.7
2016-01-01 11:00:00,0.0,0.0,0.0,7.6609397,13.3
2016-01-01 12:00:00,0.0,0.0,0.0,7.640026,13.2
2016-01-01 13:00:00,0.0,0.0,0.0,7.521303,13.1
2016-01-01 14:00:00,0.0,0.0,0.0,7.2945185,13.0
2016-01-01 15:00:00,0.0,0.0,0.0,7.017834,12.8
2016-01-01 16:00:00,0.0,0.0,0.0,6.723095,12.2
2016-01-01 17:00:00,0.0,0.0,0.0,6.5764737,11.6
2016-01-01 18:00:00,0.0,0.0,0.0,6.5764737,11.3
2016-01-01 19:00:00,0.0,0.0,0.0,6.2177167,11.3
2016-01-01 20:00:00,0.0,0.0,0.07,6.352952,11.0
2016-01-01 21:00:00,0.2,0.0,0.14,6.440497,11.2
2016-01-01 22:00:00,0.3,0.0,0.21000001,6.1846585,11.2
2016-01-01 23:00:00,0.4,0.0,0.28,5.7584724,11.2
2016-01-02 00:00:00,0.4,0.0,0.28,5.8309517,10.5
2016-01-02 01:00:00,0.3,0.0,0.21000001,5.8180757,10.9
2016-01-02 02:00:00,0.3,0.0,0.21000001,5.6462374,10.8
2016-01-02 03:00:00,0.2,0.0,0.14,5.5542774,10.6
2016-01-02 04:00:00,0.1,0.0,0.07,5.6859474,10.2
2016-01-02 05:00:00,0.0,0.0,0.07,5.515433,10.3
2016-01-02 06:00:00,0.0,0.0,0.0,5.3851647,9.9
2016-01-02 07:00:00,0.0,0.0,0.0,5.186521,9.6
2016-01-02 08:00:00,0.0,0.0,0.0,5.0328918,9.2
2016-01-02 09:00:00,0.0,0.0,0.0,5.239275,9.3
2016-01-02 10:00:00,0.0,0.0,0.0,4.88467,9.3
2016-01-02 11:00:00,0.0,0.0,0.0,4.8754487,9.0
2016-01-02 12:00:00,0.0,0.0,0.0,5.2924476,9.2
2016-01-02 13:00:00,0.0,0.0,0.0,5.162364,9.1
2016-01-02 14:00:00,0.0,0.0,0.0,4.924429,8.7
2016-01-02 15:00:00,0.0,0.0,0.0,5.189412,8.7
2016-01-02 16:00:00,0.0,0.0,0.0,5.239275,8.9
2016-01-02 17:00:00,0.0,0.0,0.0,5.2924476,9.0
2016-01-02 18:00:00,0.0,0.0,0.0,5.4230986,9.1
2016-01-02 19:00:00,0.0,0.0,0.0,5.5946403,9.9
2016-01-02 20:00:00,0.0,0.0,0.0,5.9093146,10.2
2016-01-02 21:00:00,0.0,0.0,0.0,6.0166435,10.2
2016-01-02 22:00:00,0.0,0.0,0.0,6.484597,10.6
2016-01-02 23:00:00,0.0,0.0,0.0,6.519202,11.2
2016-01-03 00:00:00,0.0,0.0,0.0,6.706713,11.2
2016-01-03 01:00:00,0.0,0.0,0.0,6.76757,11.5
2016-01-03 02:00:00,0.0,0.0,0.0,6.705222,11.8
2016-01-03 03:00:00,0.0,0.0,0.0,6.7446275,11.8
2016-01-03 04:00:00,0.0,0.0,0.0,6.9123073,11.6
2016-01-03 05:00:00,0.0,0.0,0.0,6.6940274,11.5
2016-01-03 06:00:00,0.0,0.0,0.0,6.9857,11.5
2016-01-03 07:00:00,0.0,0.0,0.0,6.888396,11.9
2016-01-03 08:00:00,0.0,0.0,0.0,6.9857,12.0
2016-01-03 09:00:00,0.0,0.0,0.0,7.0092797,12.1
2016-01-03 10:00:00,0.0,0.0,0.0,7.962412,13.0
2016-01-03 11:00:00,0.0,0.0,0.0,8.0062475,13.0
2016-01-03 12:00:00,0.0,0.0,0.0,7.990619,13.8
2016-01-03 13:00:00,0.0,0.0,0.0,7.9762144,13.8
2016-01-03 14:00:00,0.0,0.0,0.0,7.940403,13.8
2016-01-03 15:00:00,0.0,0.0,0.0,7.605919,13.5
2016-01-03 16:00:00,0.0,0.0,0.0,7.100704,13.0
2016-01-03 17:00:00,0.0,0.0,0.0,6.9007244,12.2
2016-01-03 18:00:00,0.0,0.0,0.0,6.9,11.8
2016-01-03 19:00:00,0.0,0.0,0.0,6.503076,11.8
2016-01-03 20:00:00,0.0,0.0,0.0,6.6030297,11.0
2016-01-03 21:00:00,0.0,0.0,0.07,6.503076,10.4
2016-01-03 22:00:00,0.0,0.0,0.07,5.9008474,10.0
2016-01-03 23:00:00,0.1,0.0,0.07,5.8034477,9.5
2016-01-04 00:00:00,0.2,0.0,0.14,5.400926,8.9
2016-01-04 01:00:00,0.2,0.0,0.14,4.90408,8.4
2016-01-04 02:00:00,0.2,0.0,0.14,4.3104525,8.3
2016-01-04 03:00:00,0.2,0.0,0.14,3.6345563,7.7
2016-01-04 04:00:00,0.3,0.0,0.21000001,3.640055,7.1
2016-01-04 05:00:00,0.3,0.0,0.21000001,3.544009,6.6
2016-01-04 06:00:00,0.2,0.0,0.14,3.5468295,6.5
2016-01-04 07:00:00,0.0,0.0,0.07,3.354102,6.3
2016-01-04 08:00:00,0.0,0.0,0.07,2.9681644,6.1
2016-01-04 09:00:00,0.1,0.0,0.07,2.9832866,5.5
2016-01-04 10:00:00,0.1,0.0,0.07,3.1144822,6.0
2016-01-04 11:00:00,0.1,0.0,0.07,3.0413814,6.4
2016-01-04 12:00:00,0.0,0.0,0.07,2.9068882,6.4
2016-01-04 13:00:00,0.0,0.0,0.0,3.3301651,6.7
2016-01-04 14:00:00,0.0,0.0,0.0,3.6069376,7.1
2016-01-04 15:00:00,0.0,0.0,0.0,3.8948684,7.4
2016-01-04 16:00:00,0.0,0.0,0.0,3.828838,7.5
2016-01-04 17:00:00,0.0,0.0,0.0,3.8418746,7.4
